,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
324,07X296,South Bronx Academy for Applied Media,97,262,269,6.2,6.3,7.1,7.9
325,07X298,Academy of Public Relations,99,238,240,7.1,6.4,7.2,7.9
326,07X321,Crotona Academy High School,81,91,113,8.4,7.9,8.2,8.6
327,07X334,International Community High School,87,308,354,7.3,6.5,7,7.5
328,07X343,Academy of Applied Mathematics and Technology,94,222,235,7.7,7.1,7.7,8.1
329,07X369,Young Leaders Elementary School,,,0,,,,
330,07X379,Jill Chaifetz Transfer High School,61,115,189,7.1,6.7,7.1,7.6
331,07X381,Bronx Haven High School,74,89,120,7.7,6.8,7.9,8.3
332,07X385,Performance School,,,0,,,,
333,07X427,Community School for Social Justice,95,299,315,7.2,6.7,6.8,7.5
334,07X473,Mott Haven Village Preparatory High School,93,319,344,6.9,5.9,6.7,7.7
335,07X495,University Heights Secondary School,91,393,431,7.2,6,6.5,7.4
336,07X500,Hostos-Lincoln Academy of Science,83,492,591,6.8,5.9,6.6,7.6
337,07X520,Foreign Language Academy of Global Studies,95,343,361,6,5.7,5.7,6.8
338,07X527,Bronx Leadership Academy II High School,25,109,439,6.7,6.2,6.8,7.6
339,07X547,New Explorers High School,95,332,349,7.7,7.6,7.7,7.7
340,07X548,Urban Assembly School for Careers in Sports,75,313,420,7.2,6,6.8,7.7
341,07X551,Bronx Academy of Letters,72,399,554,6.3,6.2,6.9,7.7
342,07X600,Alfred E. Smith Career and Technical Education Hig,77,683,890,5.7,5.5,5.8,6.6
343,07X655,Samuel Gompers Career and Technical Education High,61,468,762,6,5.7,6.2,6.9
344,07X670,Health Opportunities High School,77,429,557,6.3,5.5,6.3,7.3
345,08X014,P.S. X014 Senator John Calandra,,,0,,,,
346,08X036,P.S. 036 Unionport,,,0,,,,
347,08X048,P.S. 048 Joseph R. Drake,,,0,,,,
348,08X062,P.S. 062 Inocensio Casanova,,,0,,,,
349,08X069,P.S. 069 The New Vision School,,,0,,,,
350,08X071,P.S. 071 Rose E. Scala,3,13,454,7.1,6.6,7.6,7.9
351,08X072,P.S. 072 Dr. William Dorney,,,0,,,,
352,08X075,P.S. 075,,,0,,,,
353,08X093,P.S. 093 Albert G. Oliver,,,0,,,,
354,08X100,P.S. 100 Isaac Clason,,,0,,,,
355,08X101,M.S. X101 Edward R. Byrne,99,448,453,7.1,6.7,7.3,8
356,08X107,P.S. 107,,,0,,,,
357,08X119,P.S. 119,,,0,,,,
358,08X123,J.H.S. 123 James M. Kieran,94,478,506,6,6.1,6.7,7.5
359,08X125,J.H.S. 125 Henry Hudson,85,554,649,5.9,5.9,6.4,7.3
360,08X130,P.S. 130 Abram Stevens Hewitt,,,0,,,,
361,08X131,J.H.S. 131 Albert Einstein,96,813,850,5.8,5.9,6.3,7.2
362,08X138,P.S. 138 Samuel Randall,,,0,,,,
363,08X140,P.S. X140 The Eagle School,,,0,,,,
364,08X146,P.S. 146 Edward Collins,,,0,,,,
365,08X152,P.S. 152 Evergreen,,,0,,,,
366,08X182,P.S. 182,,,0,,,,
367,08X269,Bronx Studio School for Writers and Artists,0,,381,,,,
368,08X282,Women's Academy of Excellence,87,265,305,6.3,5.4,5.6,6.9
369,08X293,Renaissance High School for Musical Theater & Tech,90,390,431,6.9,5.9,6.9,7.4
370,08X295,Gateway School for Environmental Research and Tech,61,277,452,5.6,5.6,6,6.9
371,08X301,M.S. 301 Paul L. Dunbar,75,252,334,5.7,5.1,6.2,7.1
372,08X302,M.S. 302 Luisa Dessus Cruz,94,677,721,7.3,7.1,8,8.5
373,08X304,P.S. 304 Early Childhood School,,,0,,,,
374,08X305,Pablo Neruda Academy for Architecture and World St,79,259,328,6.3,6,6.1,7
375,08X312,Millennium Art Academy,83,389,469,6.4,5.7,6.4,7.3
376,08X332,Holcombe L. Rucker School of Community Research,59,174,297,6.8,6.4,7,7.5
377,08X333,P.S. 333 - The Museum School,,,0,,,,
378,08X335,The Academy of the Arts,,,0,,,,
379,08X337,The School for Inquiry and Social Justice,74,189,256,6.3,6.5,7,7.9
380,08X366,Urban Assembly Academy of Civic Engagement,70,239,342,6.3,6.3,6.4,7.3
381,08X367,"Archimedes Academy for Math, Science and Technolog",75,292,390,5.7,5.7,6.4,7
382,08X371,Urban Institute of Mathematics,98,330,338,6.8,6.7,7.3,8
383,08X375,The Bronx Mathematics Preparatory School,88,357,407,5.6,6,6.2,7.1
384,08X376,"Antonia Pantoja Preparatory Academy, A College Boa",70,252,362,5.6,5.9,6.2,7
385,08X377,Bronx Community High School,71,110,154,7.7,7.2,7.7,8.2
386,08X405,Herbert H. Lehman High School,58,2099,3622,5.5,5.6,6.2,6.8
387,08X408,Herbert H. Lehman Yabc,55,96,174,8.1,7,8.1,8.2
388,08X424,The Hunts Point School,91,356,391,6.3,5.8,7,7.3
389,08X432,BRONX BRIDGES HIGH SCHOOL,99,76,77,6.9,6.3,6.6,7.1
390,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,86,177,207,6.2,6.5,6.7,7.5
391,08X452,Bronx Guild,66,200,302,7.1,6.2,6.8,7.5
392,08X467,MOTT HALL COMMUNITY SCHOOL,98,160,163,6.3,6.6,6.7,7.4
393,08X507,Stevenson Yabc,56,93,166,8.3,6.6,7.7,8.1
394,08X519,Felisa Rincon de Gautier Institute for Law and Pub,54,184,342,5.7,5.7,5.8,6.7
395,08X530,Banana Kelly High School,85,372,438,7,6.5,7,7.5
396,08X540,School for Community Research and Learning,61,170,277,6.4,5.5,6,6.6
397,08X560,High School X560 - Bronx Academy High School,63,142,227,8.2,7.3,8.2,8.6
398,08X650,Jane Addams High School for Academic Careers,61,596,981,5.8,6,6.1,6.8
399,09X002,P.S. 002 Morrisania,,,0,,,,
400,09X004,P.S./M.S. 004 Crotona Park West,96,147,153,5.9,5.8,6.7,7
401,09X011,P.S. 011 Highbridge,,,0,,,,
402,09X022,J.H.S. 022 Jordan L. Mott,66,407,620,6.6,5.9,6.8,7.6
403,09X028,P.S. 028 Mount Hope,,,0,,,,
404,09X035,P.S. 035 Franz Siegel,,,0,,,,
405,09X042,P.S. 042 Claremont,,,0,,,,
406,09X053,P.S. 053 Basheer Quisim,,,0,,,,
407,09X055,P.S. 055 Benjamin Franklin,,,0,,,,
408,09X058,P.S. 058,,,0,,,,
409,09X063,P.S. 063 Author's Academy,,,0,,,,
410,09X064,P.S. 064 Pura Belpre,,,0,,,,
411,09X070,P.S. 070 Max Schoenfeld,,,0,,,,
412,09X073,P.S. 073 Bronx,,,0,,,,
413,09X088,P.S. X088 - S. Silverstein Little Sparrow School,,,0,,,,
414,09X090,P.S. 090 George Meany,,,0,,,,
415,09X109,P.S. 109 Sedgwick,,,0,,,,
416,09X110,P.S. 110 Theodore Schoenfeld,,,0,,,,
417,09X114,P.S. X114 - Luis Llorens Torres Schools,,,0,,,,
418,09X117,I.S. 117 Joseph H. Wade,92,697,757,6.1,5.7,6.5,7.4
419,09X126,P.S. 126 Dr Marjorie H Dunbar,82,89,108,6.3,6.3,7.3,8
420,09X128,Mott Hall III,96,315,329,7,6.8,7.4,8.4
421,09X132,P.S. 132 Garret A. Morgan,,,0,,,,
422,09X145,J.H.S. 145 Arturo Toscanini,97,367,380,7.6,6.7,7.7,8.1
423,09X163,P.S. 163 Arthur A. Schomburg,,,0,,,,
424,09X166,J.H.S. 166 Roberto Clemente,88,147,167,7,5.9,6.7,7.6
425,09X170,P.S. 170,,,0,,,,
426,09X199,P.S. 199X - The Shakespeare School,,,0,,,,
427,09X204,P.S. 204 Morris Heights,,,0,,,,
428,09X215,Kappa,99,344,346,6.9,6.6,6.9,8.1
429,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,99,269,271,7.4,6.6,7.3,8.2
430,09X219,I.S. 219 New Venture School,92,395,428,5.2,5.2,5.8,7
431,09X227,Bronx Expeditionary Learning High School,71,238,334,6.5,6.3,7.1,7.6
432,09X229,I.S. 229 Roland Patterson,96,220,230,5.9,6,6.7,7.2
433,09X230,P.S. 230 Dr Roland N. Patterson,,,0,,,,
434,09X231,Eagle Academy for Young Men,89,383,431,5.8,5.8,6.5,7.2
435,09X232,I.S. 232,89,371,415,6.2,6,6.5,7.6
436,09X236,P.S. 236 Langston Hughes,,,0,,,,
437,09X239,Urban Assembly Academy for History and Citizenship,28,57,206,6.4,6.6,6.9,7.9
438,09X241,Urban Assembly School for Applied Math and Science,91,527,581,6.8,6.2,6.9,7.6
439,09X250,Eximius College Preparatory Academy: A College Boa,88,295,334,7.3,6.2,7.1,7.7
440,09X252,Mott Hall Bronx High School,81,284,349,6.6,5.9,6.3,7.2
441,09X260,Bronx Center for Science and Mathematics,96,402,417,7.1,6.2,6.9,8
442,09X263,Validus Preparatory Academy: An Expeditionary Lear,54,195,358,7.6,6.9,7.4,7.9
443,09X276,Leadership Institute,82,200,245,7.1,6.3,7.2,7.8
444,09X297,Morris Academy for Collaborative Studies,80,321,399,6.4,5.7,6.4,7.3
445,09X303,I.S. X303 Leadership & Community Service,90,300,335,7.2,6.8,7.2,7.6
446,09X313,I.S. 313 School of Leadership Development,90,393,437,6.3,5.7,6.9,7.7
447,09X323,Bronx Writing Academy,82,403,492,6,5.9,6.5,7.5
448,09X324,Bronx Early College Academy for Teaching & Learnin,88,323,369,6.7,6.7,7.1,8.2
449,09X325,Urban Science Academy,91,318,351,6.4,6.1,6.7,7.5
450,09X327,Comprehensive Model School Project M.S. 327,91,329,360,6.2,5.8,6.1,7.5
451,09X328,New Millennium Business Academy Middle School,85,175,207,5.2,5.9,6.1,7.3
452,09X329,DreamYard Preparatory School,87,276,318,6,5.8,6.3,6.9
453,09X339,I.S. 339,76,598,791,6,5.7,6.4,7.3
454,09X365,Academy for Language and Technology,79,277,351,7.5,6.5,7.2,7.7
455,09X403,Bronx International High School,75,289,384,7,6.8,7.2,7.6
456,09X404,School for Excellence,89,343,385,6.9,6.1,6.3,7.3
457,09X412,Bronx High School of Business,91,374,410,6.1,5.7,6.2,7.1
458,09X413,Bronx High School for Medical Science,96,405,424,6,5.6,5.8,6.9
459,09X414,Jonathan Levin High School for Media and Communica,70,281,401,6.3,5.7,6.1,6.9
460,09X443,THE FAMILY SCHOOL,,,0,,,,
461,09X449,GRANT AVENUE ELEMENTARY SCHOOL,,,0,,,,
462,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,97,240,247,6.6,6.3,7.2,7.9
463,09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,,,0,,,,
464,09X505,"Bronx School for Law, Government and Justice",84,588,702,6.5,6.2,6.6,7.5
465,09X517,Frederick Douglass Academy III Secondary School,95,564,595,6.5,6.2,6.5,7.6
466,09X525,Bronx Leadership Academy High School,81,507,625,6.1,5.8,6.3,7.3
467,09X543,High School for Violin and Dance,87,192,220,6.6,6,6.8,7.4
468,10X003,P.S. 3 Raul Julia Micro Society,100,180,180,6.8,6.3,7,7.7
469,10X007,P.S. 007 Kingsbridge,,,0,,,,
470,10X008,P.S. 008 Issac Varian,,,0,,,,
471,10X009,P.S. 9 Ryer Avenue Elementary School,,,0,,,,
472,10X015,P.S. X015 Institute for Environmental Learning,99,195,197,7.8,6.6,8,8.5
473,10X020,P.S. 20 P.O.George J. Werdan III,92,343,372,6.2,6.2,7,7.7
474,10X023,P.S. 023 The New Children's School,,,0,,,,
475,10X024,P.S. 024 Spuyten Duyvil,,,0,,,,
476,10X032,P.S. 032 Belmont,,,0,,,,
477,10X033,P.S. 033 Timothy Dwight,,,0,,,,
478,10X037,P.S. X037 - Multiple Intelligence School,94,170,181,5.7,5.4,6.2,6.8
479,10X045,Thomas C. Giordano Middle School 45,95,945,999,6.2,5.8,6.3,7.5
480,10X046,P.S. 046 Edgar Allan Poe,,,0,,,,
481,10X051,P.S. 051 Bronx New School,,,0,,,,
482,10X054,P.S. / I.S. 54,,,0,,,,
483,10X056,P.S. 056 Norwood Heights,,,0,,,,
484,10X059,P.S. 059 The Community School of Technology,,,0,,,,
485,10X079,P.S. 079 Creston,,,0,,,,
486,10X080,J.H.S. 080 The Mosholu Parkway,90,579,640,5.6,5.9,6.2,7.2
487,10X081,P.S. 081 Robert J. Christen,,,0,,,,
488,10X085,P.S. 085 Great Expectations,,,0,,,,
489,10X086,P.S. 086 Kingsbridge Heights,98,237,241,8.6,8,9.2,9.4
490,10X091,P.S. 091 Bronx,,,0,,,,
491,10X094,P.S. 094 Kings College School,,,0,,,,
492,10X095,P.S. 095 Sheila Mencher,93,426,456,5.8,5.7,6.3,7.2
493,10X118,J.H.S. 118 William W. Niles,93,1053,1129,6.6,5.9,6.7,7.7
494,10X141,Riverdale / Kingsbridge Academy (Middle School / H,89,1165,1311,5.9,5.5,6.2,7
495,10X159,P.S. 159 Luis Munoz Marin Biling,,,0,,,,
496,10X205,P.S. 205 Fiorello Laguardia,,,0,,,,
497,10X206,I.S. 206 Ann Mersereau,90,286,318,6.1,6,6.5,7.7
498,10X207,P.S. 207,,,0,,,,
499,10X209,P.S. 209,,,0,,,,
500,10X213,Bronx Engineering and Technology Academy,81,332,409,6.5,5.9,6.8,7.5
501,10X225,Theatre Arts Production Company School,88,450,513,7.7,6.9,7.5,8
502,10X226,P.S. 226,,,0,,,,
503,10X228,Jonas Bronck Academy,95,223,235,7.7,7.1,7.7,8.3
504,10X237,"The Marie Curie School for Medicine, Nursing, and",62,287,465,5.9,5.9,5.9,6.9
505,10X243,West Bronx Academy for the Future,83,490,589,6.6,6,7,7.6
506,10X244,The New School for Leadership and Journalism,69,450,656,7.2,6.4,7.5,8
507,10X246,P.S. 246 Poe Center,,,0,,,,
508,10X254,I.S. 254,81,349,432,6,5.6,6.2,7
509,10X268,Kingsbridge International High School,84,389,464,6.9,6,6.6,7.4
510,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",96,320,332,6.8,6.4,7,7.7
511,10X280,P.S./M.S. 280 Mosholu Parkway,96,284,296,6.4,6.4,6.9,7.8
512,10X284,Bronx School of Law and Finance,85,320,377,6.1,6,6.4,7.1
513,10X291,P.S. 291,,,0,,,,
514,10X306,P.S. 306,,,0,,,,
515,10X307,P.S. X307 - Eames Place,,,0,,,,
516,10X308,Bronx Dance Academy School,94,263,280,6.8,6.3,6.9,7.8
517,10X310,P.S. 310 Marble Hill,,,0,,,,
518,10X315,P.S. 315 Lab School,95,74,78,7.3,7.2,7.5,8.5
519,10X319,Providing Urban Learners Success In Education High,87,145,166,8.4,7.3,7.9,8.3
520,10X331,The Bronx School of Science Inquiry and Investigat,95,342,360,6.5,6.5,7.1,7.7
521,10X340,P.S. 340,100,64,64,8.1,7.7,8.3,8.5
522,10X342,International School for Liberal Arts,92,488,530,7.4,6.4,7.1,7.7
523,10X344,Ampark Neighborhood,,,0,,,,
524,10X360,P.S. 360,98,58,59,6.6,5.7,6.2,7.5
525,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,97,153,158,7.4,6.5,7.4,8.2
526,10X368,In-Tech Academy (M.S. / High School 368),90,978,1088,6.5,6.2,6.6,7.5
527,10X374,Knowledge and Power Preparatory Academy Internatio,92,329,359,7.2,6.6,7.2,8
528,10X382,"Elementary School for Math, Science, and Technolog",,,0,,,,
529,10X386,School for Environmental Citizenship,,,0,,,,
530,10X390,M.S. 390,94,366,389,6.5,6.3,6.9,7.6
531,10X391,The Angelo Patri Middle School,87,539,617,6.4,6.2,7,7.6
532,10X396,P.S. 396,,,0,,,,
533,10X397,English Language Learners and International Suppor,71,166,233,7.4,6.5,7,7.8
534,10X399,M.S. 399,92,220,239,6,5.9,6.3,7.5
535,10X433,High School for Teaching and the Professions,90,384,425,5.9,5.4,6.1,6.7
536,10X434,Belmont Preparatory High School,78,295,377,6,5.4,5.5,6.7
537,10X437,Fordham High School for the Arts,70,250,358,7,6.2,7.1,7.6
538,10X438,Fordham Leadership Academy for Business and Techno,52,215,416,5.8,5.3,5.9,6.9
539,10X439,Bronx High School for Law and Community Service,87,332,380,6,6,6.5,7.3
540,10X440,DeWitt Clinton High School,67,2820,4227,5.2,5.4,6,6.9
541,10X442,"Celia Cruz Bronx High School of Music, The",87,335,384,6.5,6.2,6.9,7.4
542,10X445,Bronx High School of Science,98,2956,3002,6.8,6.3,6.7,7.6
543,10X447,CRESTON ACADEMY,96,224,234,6.2,6.4,6.9,7.8
544,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,86,179,207,6.8,6.2,6.8,7.4
545,10X475,John F. Kennedy High School,31,314,1027,5.6,5.2,5.7,6.2
546,10X477,Marble Hill High School for International Studies,97,428,442,7.1,6.3,6.9,7.7
547,10X503,Walton Yabc,66,120,181,7.7,6.5,6.9,7.5
548,10X504,Kennedy Yabc,68,139,203,7.8,6.2,7.3,7.8
549,10X546,Bronx Theatre High School,91,388,428,7.4,6.4,7.6,8.1
550,10X549,Discovery High School,59,283,479,6.2,5.5,6.1,6.8
551,10X660,Grace Dodge Career and Technical Education High Sc,63,806,1280,5.9,5.5,5.9,6.8
552,10X667,Grace Dodge Yabc,39,91,233,7.6,7.2,7.6,8.1
553,10X696,High School of American Studies at Lehman College,98,359,366,8.1,7.1,7.8,8.6
554,11X016,P.S. 016 Wakefield,,,0,,,,
555,11X019,P.S. 019 Judith K. Weiss,97,191,197,7.5,6.4,7.8,8.3
556,11X021,P.S. 021 Philip H. Sheridan,,,0,,,,
557,11X041,P.S. 041 Gun Hill Road,,,0,,,,
558,11X068,P.S. 068 Bronx,,,0,,,,
559,11X076,P.S. 076 The Bennington School,,,0,,,,
560,11X078,P.S. 078 Anne Hutchinson,,,0,,,,
561,11X083,P.S. 083 Donald Hertz,97,642,662,6.7,6.5,7.3,7.9
562,11X087,P.S. 087 Bronx,,,0,,,,
563,11X089,P.S. 089 Bronx,98,476,486,5.3,5.7,6.1,7.1
564,11X096,P.S. 096 Richard Rodgers,,,0,,,,
565,11X097,P.S. 097 Bronx,,,0,,,,
566,11X103,P.S. 103 Hector Fontanez,,,0,,,,
567,11X105,P.S. 105 Sen Abraham Bernstein,,,0,,,,
568,11X106,P.S. 106 Parkchester,,,0,,,,
569,11X108,P.S. 108 Philip J. Abinanti,,,0,,,,
570,11X111,P.S. 111 Seton Falls,,,0,,,,
571,11X112,P.S. 112 Bronxwood,,,0,,,,
572,11X121,P.S. 121 Throop,,,0,,,,
573,11X127,J.H.S. 127 The Castle Hill,84,598,714,6.3,6.1,6.8,7.7
574,11X142,MS 142 John Philip Sousa,92,712,773,5.1,5.6,6.1,7.1
575,11X144,J.H.S. 144 Michelangelo,81,762,945,5.5,6,6.3,7.4
576,11X153,P.S. 153 Helen Keller,,,0,,,,
577,11X160,P.S. 160 Walt Disney,,,0,,,,
578,11X169,BAYCHESTER ACADEMY,,,0,,,,
579,11X175,P.S. 175 City Island,99,126,127,6.3,6,6.5,7.3
580,11X178,P.S. 178 - Dr. Selman Waksman,,,0,,,,
581,11X180,M.S. 180 Dr. Daniel Hale Williams,99,750,757,7.5,7.2,7.6,8.1
582,11X181,I.S. 181 Pablo Casals,89,522,589,6.9,5.8,7.1,7.9
583,11X189,Cornerstone Academy for Social Action,,,0,,,,
584,11X194,PS/MS 194,98,419,427,6.7,6.5,7.2,8
585,11X249,Bronx Health Sciences High School,90,266,295,6.3,5.4,5.8,7.2
586,11X253,Bronx High School for Writing and Communication Ar,57,225,393,5.5,5.3,5.8,6.6
587,11X265,Bronx Lab School,90,411,459,6.4,6,6.4,7.3
588,11X270,Academy for Scholarship and Entrepreneurship: A Co,71,404,573,5.2,5.6,5.6,6.9
589,11X272,Globe School for Environmental Research,85,402,475,5.8,5.4,6.1,6.7
590,11X275,High School of Computers and Technology,84,436,522,6.3,5.7,6.6,7.4
591,11X287,The Forward School,97,280,290,6.3,6.3,7,7.8
592,11X288,Collegiate Institute for Math and Science,82,391,478,7.2,6.7,7.3,8.4
593,11X289,The Young Scholars Academy of The Bronx,83,318,381,5.2,5.7,6,7.2
594,11X290,Bronx Academy of Health Careers,85,370,437,5.9,5.7,5.9,7
595,11X299,Astor Collegiate Academy,88,395,449,5.9,5.7,6.3,7.2
596,11X322,Aspire Preparatory Middle School,95,488,514,5.3,5.2,5.4,6.9
597,11X326,Bronx Green Middle School,96,369,385,6.5,6.3,6.8,7.7
598,11X370,School of Diplomacy,15,64,431,5.5,6.3,6.9,7.3
599,11X415,Christopher Columbus High School,57,586,1035,6.1,5.9,6.6,7.2
600,11X417,C Columbus Hs Yabc,76,184,243,8.6,6.6,8.2,8.9
601,11X418,Bronx High School for the Visual Arts,82,330,401,6.3,5.3,6.1,6.9
602,11X455,Harry S Truman High School,62,1156,1864,6,5.6,6.3,7.2
603,11X456,Learning To Work Yabc At Truman High School,93,106,114,8.2,7.4,8,8.5
604,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,79,170,216,6.8,6.5,7.1,7.8
605,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEME,89,189,213,7.2,7,7.4,8.2
606,11X498,PS/MS 11X498 - VAN NEST ACADEMY,98,101,103,7.6,6.9,7.9,8.1
607,11X513,New World High School,90,316,351,7.1,6.8,7.3,8
608,11X514,The Bronxwood Preparatory Academy,80,274,344,6,5.7,6.1,7.1
609,11X541,Global Enterprise High School,74,260,352,5.9,5.8,6.2,7.1
610,11X542,Pelham Preparatory Academy,92,434,473,6.4,5.6,6.4,7.6
611,11X544,High School for Contemporary Arts,67,295,438,6.7,5.6,6.5,7
612,11X545,Bronx Aerospace High School,86,308,357,5.6,5.5,5.5,6.4
613,12X006,P.S. 006 West Farms,,,0,,,,
614,12X044,P.S. 044 David C. Farragut,,,0,,,,
615,12X047,P.S. 047 John Randolph,,,0,,,,
616,12X050,P.S. 050 Clara Barton,,,0,,,,
617,12X057,P.S. 057 Crescent,,,0,,,,
618,12X061,P.S. 061 Francisco Oller,,,0,,,,
619,12X066,P.S. 066 School of Higher Expectations,,,0,,,,
620,12X067,P.S. 067 Mohegan School,,,0,,,,
621,12X092,P.S. 092 Bronx,,,0,,,,
622,12X098,J.H.S. 098 Herman Ridder,93,419,449,5.8,6,6.7,7.4
623,12X102,P.S. 102 Joseph O. Loretan,,,0,,,,
624,12X129,P.S. 129 Twin Parks Upper,89,501,562,6.6,6.2,6.9,7.8
625,12X134,P.S. 134 George F. Bristow,,,0,,,,
626,12X150,P.S. 150 Charles James Fox,,,0,,,,
627,12X190,E.S.M.T- I.S. 190,97,236,243,6.4,5.9,7.1,7.4
628,12X195,P.S. 195,,,0,,,,
629,12X196,P.S. 196,,,0,,,,
630,12X198,P.S. 198,,,0,,,,
631,12X211,P.S. 211,98,337,343,6.9,6.3,7.7,7.7
632,12X212,P.S. 212,91,124,136,6.4,5.9,6.6,7.5
633,12X214,P.S. 214,95,379,399,6.7,6.2,6.9,8
634,12X217,School of Performing Arts,75,243,322,6,5.9,6.7,7.7
635,12X242,Mott Hall V,92,346,378,7.4,6.8,7.1,8
636,12X245,New Day Academy,71,215,301,6,5.9,6.5,7.1
637,12X248,"Metropolitan High School, The",79,246,313,6.8,6,6.6,7.1
638,12X251,Explorations Academy,65,232,359,6.9,6.5,7.1,7.7
639,12X262,Performance Conservatory High School,64,217,340,6,5.6,6.4,7
640,12X267,Bronx Latin,99,339,343,8.5,8.4,8.6,9.1
641,12X271,East Bronx Academy for the Future,66,399,606,6.8,6.4,6.9,7.7
642,12X273,Frederick Douglass Academy V. Middle School,97,247,255,6.8,6.2,6.9,7.7
643,12X278,Peace and Diversity Academy,89,236,266,8.6,8.6,8.3,9.1
644,12X286,Fannie Lou Hamer Middle School,74,177,238,6.6,6.6,7,7.9
645,12X300,The School of Science and Applied Learning,,,0,,,,
646,12X316,Kappa III,100,266,267,7.9,7.1,8,8.2
647,12X318,"I.S. X318 Math, Science & Technology Through Arts",99,373,378,6.9,6.2,7.1,7.7
648,12X341,Accion Academy,79,144,183,6.6,6.4,7.2,7.6
649,12X372,Urban Assembly School for Wildlife Conservation,77,241,313,6.3,6.7,6.6,7.5
650,12X383,Emolior Academy,95,203,213,7.5,7.2,7.7,7.7
651,12X384,Entrada Academy,83,281,340,6.8,6.2,7.2,7.8
